officer_id,score,xbin,ypos
2184,0.14,0,0
3537,0.14,0,1
334,0.13,0,2
943,0.13,0,3
1826,0.13,0,4
2241,0.13,0,5
3096,0.13,0,6
3613,0.13,0,7
4370,0.13,0,8
4986,0.13,0,9
5408,0.13,0,10
141,0.12,0,11
405,0.12,0,12
1211,0.12,0,13
1272,0.12,0,14
1312,0.12,0,15
1872,0.12,0,16
2144,0.12,0,17
3579,0.12,0,18
3662,0.12,0,19
4006,0.12,0,20
4069,0.12,0,21
4157,0.12,0,22
4246,0.12,0,23
5217,0.12,0,24
5302,0.12,0,25
5465,0.12,0,26
5543,0.12,0,27
5630,0.12,0,28
5963,0.12,0,29
5979,0.12,0,30
6371,0.12,0,31
6649,0.12,0,32
435,0.11,0,33
464,0.11,0,34
512,0.11,0,35
555,0.11,0,36
896,0.11,0,37
1258,0.11,0,38
1538,0.11,0,39
1745,0.11,0,40
1775,0.11,0,41
2166,0.11,0,42
2235,0.11,0,43
2380,0.11,0,44
2489,0.11,0,45
2510,0.11,0,46
2678,0.11,0,47
2702,0.11,0,48
3375,0.11,0,49
3738,0.11,0,50
4180,0.11,0,51
4369,0.11,0,52
4701,0.11,0,53
5012,0.11,0,54
5113,0.11,0,55
5641,0.11,0,56
5955,0.11,0,57
74,0.1,0,58
597,0.1,0,59
683,0.1,0,60
701,0.1,0,61
788,0.1,0,62
918,0.1,0,63
1039,0.1,0,64
1159,0.1,0,65
1615,0.1,0,66
1782,0.1,0,67
2047,0.1,0,68
2080,0.1,0,69
2487,0.1,0,70
3322,0.1,0,71
3396,0.1,0,72
3592,0.1,0,73
3765,0.1,0,74
3850,0.1,0,75
4003,0.1,0,76
4122,0.1,0,77
4395,0.1,0,78
4695,0.1,0,79
4741,0.1,0,80
4775,0.1,0,81
5827,0.1,0,82
508,0.09,0,83
518,0.09,0,84
836,0.09,0,85
1114,0.09,0,86
1183,0.09,0,87
1550,0.09,0,88
1834,0.09,0,89
1883,0.09,0,90
2351,0.09,0,91
2365,0.09,0,92
2426,0.09,0,93
2448,0.09,0,94
2488,0.09,0,95
2740,0.09,0,96
3033,0.09,0,97
3124,0.09,0,98
3660,0.09,0,99
3990,0.09,0,100
4038,0.09,0,101
4284,0.09,0,102
4540,0.09,0,103
5021,0.09,0,104
5043,0.09,0,105
5367,0.09,0,106
5622,0.09,0,107
5762,0.09,0,108
5834,0.09,0,109
5869,0.09,0,110
6072,0.09,0,111
6302,0.09,0,112
6403,0.09,0,113
6427,0.09,0,114
6523,0.09,0,115
138,0.08,0,116
223,0.08,0,117
253,0.08,0,118
277,0.08,0,119
312,0.08,0,120
342,0.08,0,121
517,0.08,0,122
560,0.08,0,123
595,0.08,0,124
699,0.08,0,125
745,0.08,0,126
850,0.08,0,127
1111,0.08,0,128
1305,0.08,0,129
1309,0.08,0,130
1480,0.08,0,131
1488,0.08,0,132
1493,0.08,0,133
1588,0.08,0,134
1691,0.08,0,135
1939,0.08,0,136
1953,0.08,0,137
2033,0.08,0,138
2288,0.08,0,139
2295,0.08,0,140
2366,0.08,0,141
2435,0.08,0,142
2519,0.08,0,143
2605,0.08,0,144
2984,0.08,0,145
3055,0.08,0,146
3129,0.08,0,147
3193,0.08,0,148
3244,0.08,0,149
3461,0.08,0,150
3545,0.08,0,151
3615,0.08,0,152
3699,0.08,0,153
3735,0.08,0,154
3821,0.08,0,155
3982,0.08,0,156
4007,0.08,0,157
4028,0.08,0,158
4155,0.08,0,159
4312,0.08,0,160
4450,0.08,0,161
4515,0.08,0,162
